@relation '1 train'

@attribute station numeric
@attribute year numeric
@attribute month numeric
@attribute day numeric
@attribute hour numeric
@attribute temperature numeric
@attribute energy numeric

@data
1,2004,1,9,20,31,28113
1,2004,1,9,21,30,27311
1,2004,1,9,22,29,26327
1,2004,1,9,23,27,24967
1,2004,1,9,24,26,23824
1,2004,1,10,1,24,23405
1,2004,1,10,2,22,23507
1,2004,1,10,3,21,24067
1,2004,1,10,4,20,24786
1,2004,1,10,5,19,25418
1,2004,1,10,6,19,26631
1,2004,1,10,7,17,28560
1,2004,1,10,8,17,30242
1,2004,1,10,9,15,32387
1,2004,1,10,10,15,31926
1,2004,1,10,11,19,29308
1,2004,1,10,12,19,27017
1,2004,1,10,13,19,24909
1,2004,1,10,14,22,23193
1,2004,1,10,15,22,22257
1,2004,1,10,16,20,22457
1,2004,1,10,17,20,23909
1,2004,1,10,18,20,27515
1,2004,1,10,19,18,29526
1,2004,1,10,20,18,30073
1,2004,1,10,21,18,30858
1,2004,1,10,22,18,30698
1,2004,1,10,23,18,30208
1,2004,1,10,24,18,30056
1,2004,1,11,10,21,12898
1,2004,1,11,11,26,15349
1,2004,1,11,12,27,15420
1,2004,1,11,13,27,15570
1,2004,1,11,14,28,15891
1,2004,1,11,15,28,17020
1,2004,1,11,16,28,19209
1,2004,1,11,17,28,22324
1,2004,1,11,18,28,22384
1,2004,1,11,19,26,20112
1,2004,1,11,20,26,17943
1,2004,1,11,21,27,12597
1,2004,1,11,22,28,12266
1,2004,1,11,23,28,12115
1,2004,1,11,24,28,12126
1,2004,1,12,5,34,10027
1,2004,1,12,6,34,11737
1,2004,1,12,7,34,13576
1,2004,1,12,8,35,13980
1,2004,1,12,9,36,13840
1,2004,1,12,10,39,13207
1,2004,1,12,11,43,11121
1,2004,1,12,12,46,10297
1,2004,1,12,13,49,10214
1,2004,1,12,14,51,10337
1,2004,1,12,15,53,10692
1,2004,1,12,16,53,11130
1,2004,1,12,17,52,12410
1,2004,1,12,18,49,14832
1,2004,1,12,19,45,16584
1,2004,1,12,20,43,17918
1,2004,1,12,21,43,11590
1,2004,1,12,22,44,11077
1,2004,1,12,23,41,10832
1,2004,1,12,24,38,10944
1,2004,1,13,1,34,11220
1,2004,1,13,2,30,10623
1,2004,1,13,3,28,10335
1,2004,1,13,4,28,10114
1,2004,1,13,5,29,10396
1,2004,1,13,6,29,11961
1,2004,1,13,7,31,14321
1,2004,1,13,8,31,14773
1,2004,1,13,9,36,13535
1,2004,1,13,10,43,13279
1,2004,1,13,11,47,13433
1,2004,1,13,12,49,13436
1,2004,1,13,13,49,14032
1,2004,1,13,14,53,13828
1,2004,1,13,15,54,13401
1,2004,1,13,16,55,13619
1,2004,1,13,17,54,14577
1,2004,1,13,18,52,16631
1,2004,1,13,19,48,17565
1,2004,1,13,20,44,17224
1,2004,1,13,21,41,16162
1,2004,1,13,22,39,14688
1,2004,1,13,23,39,13112
1,2004,1,13,24,38,11244
1,2004,1,14,1,36,10287
1,2004,1,14,2,34,9803
1,2004,1,14,3,34,9704
1,2004,1,14,4,32,9749
1,2004,1,14,5,30,10424
1,2004,1,14,6,30,12287
1,2004,1,14,7,29,15343
1,2004,1,14,8,27,16269
1,2004,1,14,9,29,15694
1,2004,1,14,10,31,15357
1,2004,1,14,11,35,15451
1,2004,1,14,12,36,15074
1,2004,1,14,13,37,15383
1,2004,1,14,14,37,15327
1,2004,1,14,15,37,14922
1,2004,1,14,16,35,15515
1,2004,1,14,17,35,16753
1,2004,1,14,18,34,18600
1,2004,1,14,19,33,20282
1,2004,1,14,20,32,20105
1,2004,1,14,21,32,19081
1,2004,1,14,22,34,17641
1,2004,1,14,23,36,15786
1,2004,1,14,24,38,14373
1,2004,1,15,1,39,13137
1,2004,1,15,2,40,12784
1,2004,1,15,3,40,12923
1,2004,1,15,4,42,13075
1,2004,1,15,5,42,14006
1,2004,1,15,6,40,16000
1,2004,1,15,7,39,19159
1,2004,1,15,8,38,18966
1,2004,1,15,9,38,17278
1,2004,1,15,10,36,15804
1,2004,1,15,11,32,14706
1,2004,1,15,12,32,13780
1,2004,1,15,13,32,13072
1,2004,1,15,14,31,12889
1,2004,1,15,15,31,12591
1,2004,1,15,16,31,12933
1,2004,1,15,17,31,13737
1,2004,1,15,18,29,15937
1,2004,1,15,19,28,17822
1,2004,1,15,20,29,17886
1,2004,1,15,21,28,17774
1,2004,1,15,22,28,16932
1,2004,1,15,23,30,15809
1,2004,1,15,24,29,14778
1,2004,1,16,1,28,14171
1,2004,1,16,2,27,14027
1,2004,1,16,3,25,14195
1,2004,1,16,4,23,14447
1,2004,1,16,5,23,15031
1,2004,1,16,6,21,16229
1,2004,1,16,7,21,18031
1,2004,1,16,8,21,19745
1,2004,1,16,9,22,19293
1,2004,1,16,10,25,17752
1,2004,1,16,11,26,16319
1,2004,1,16,12,28,15086
1,2004,1,16,13,28,14274
1,2004,1,16,14,30,13737
1,2004,1,16,15,31,13496
1,2004,1,16,16,32,13395
1,2004,1,16,17,32,14030
1,2004,1,16,18,30,15602
1,2004,1,16,19,30,16730
1,2004,1,16,20,30,16213
1,2004,1,16,21,30,15843
1,2004,1,16,22,30,15023
1,2004,1,16,23,29,14004
1,2004,1,16,24,29,12884
1,2004,1,17,1,29,12165
1,2004,1,17,2,28,11986
1,2004,1,17,3,27,12178
1,2004,1,17,4,27,12455
1,2004,1,17,5,26,13003
1,2004,1,17,6,26,13608
1,2004,1,17,7,26,14909
1,2004,1,17,8,26,16982
1,2004,1,17,9,28,17592
1,2004,1,17,10,30,16416
1,2004,1,17,11,34,15275
1,2004,1,17,12,34,14265
1,2004,1,17,13,35,13773
1,2004,1,17,14,35,13427
1,2004,1,17,15,37,13382
1,2004,1,17,16,35,13192
1,2004,1,17,17,35,13496
1,2004,1,17,18,34,15147
1,2004,1,17,19,34,16127
1,2004,1,17,20,34,16170
1,2004,1,17,21,34,15521
1,2004,1,17,22,34,14059
1,2004,1,17,23,34,12970
1,2004,1,17,24,36,11627
1,2004,1,18,1,38,10962
1,2004,1,18,2,37,10687
1,2004,1,18,3,35,10607
1,2004,1,18,4,35,10760
1,2004,1,18,5,35,11411
1,2004,1,18,6,37,13541
1,2004,1,18,7,37,16601
1,2004,1,18,8,37,16360
1,2004,1,18,9,38,13736
1,2004,1,18,10,38,13310
1,2004,1,18,11,39,13457
1,2004,1,18,12,41,13210
1,2004,1,18,13,44,13061
1,2004,1,18,14,46,13059
1,2004,1,18,15,44,12533
1,2004,1,18,16,45,13233
1,2004,1,18,17,47,14698
1,2004,1,18,18,42,17112
1,2004,1,18,19,40,19032
1,2004,1,18,20,39,19483
1,2004,1,18,21,36,19302
1,2004,1,18,22,36,18688
1,2004,1,18,23,37,17093
1,2004,1,18,24,36,15655
1,2004,1,19,1,35,15113
1,2004,1,19,2,34,15310
1,2004,1,19,3,32,15700
1,2004,1,19,4,30,16357
1,2004,1,19,5,29,17626
1,2004,1,19,6,29,20072
1,2004,1,19,7,27,23376
1,2004,1,19,8,27,23058
1,2004,1,19,9,28,19702
1,2004,1,19,10,30,17348
1,2004,1,19,11,31,15870
1,2004,1,19,12,31,14777
1,2004,1,19,13,33,13711
1,2004,1,19,14,33,13069
1,2004,1,19,15,33,12754
1,2004,1,19,16,35,13223
1,2004,1,19,17,34,14389
1,2004,1,19,18,32,17594
1,2004,1,19,19,30,19944
1,2004,1,19,20,30,20530
1,2004,1,19,21,30,20740
1,2004,1,19,22,29,19743
1,2004,1,19,23,28,18166
1,2004,1,19,24,28,17223
1,2004,1,20,1,26,26521
1,2004,1,20,2,26,26851
1,2004,1,20,3,26,27398
1,2004,1,20,4,26,28007
1,2004,1,20,5,26,29211
1,2004,1,20,6,26,31858
1,2004,1,20,7,25,34631
1,2004,1,20,8,25,35052
1,2004,1,20,9,25,31483
1,2004,1,20,10,27,28058
1,2004,1,20,11,28,26009
1,2004,1,20,12,28,23811
1,2004,1,20,13,31,21831
1,2004,1,20,14,31,20534
1,2004,1,20,15,31,20349
1,2004,1,20,16,33,20844
1,2004,1,20,17,31,22251
1,2004,1,20,18,30,25392
1,2004,1,20,19,29,28411
1,2004,1,20,20,28,29130
1,2004,1,20,21,28,29458
1,2004,1,20,22,28,28556
1,2004,1,20,23,28,27282
1,2004,1,20,24,26,25883
1,2004,1,21,10,27,16281
1,2004,1,21,11,28,15071
1,2004,1,21,12,28,14430
1,2004,1,21,13,29,14155
1,2004,1,21,14,31,13966
1,2004,1,21,15,32,14386
1,2004,1,21,16,31,15121
1,2004,1,21,17,31,16683
1,2004,1,21,18,30,18289
1,2004,1,21,19,27,19782
1,2004,1,21,20,23,22604
1,2004,1,21,21,21,16816
1,2004,1,21,22,21,16365
1,2004,1,21,23,21,16199
1,2004,1,21,24,22,16336
1,2004,1,22,5,28,19486
1,2004,1,22,6,31,21967
1,2004,1,22,7,31,25919
1,2004,1,22,8,31,26083
1,2004,1,22,9,34,22945
1,2004,1,22,10,37,19731
1,2004,1,22,11,41,29965
1,2004,1,22,12,45,30009
1,2004,1,22,13,47,30434
1,2004,1,22,14,48,30536
1,2004,1,22,15,50,31735
1,2004,1,22,16,50,33544
1,2004,1,22,17,50,35709
1,2004,1,22,18,48,35523
1,2004,1,22,19,45,32724
1,2004,1,22,20,47,21960
1,2004,1,22,21,45,19438
1,2004,1,22,22,40,19250
1,2004,1,22,23,39,19689
1,2004,1,22,24,37,20359
1,2004,1,23,1,33,17222
1,2004,1,23,2,32,16988
1,2004,1,23,3,29,17172
1,2004,1,23,4,27,17399
1,2004,1,23,5,25,18253
1,2004,1,23,6,23,20441
1,2004,1,23,7,22,23680
1,2004,1,23,8,21,23674
1,2004,1,23,9,23,20539
1,2004,1,23,10,26,18317
1,2004,1,23,11,27,16249
1,2004,1,23,12,28,15789
1,2004,1,23,13,28,15753
1,2004,1,23,14,29,15842
1,2004,1,23,15,30,16817
1,2004,1,23,16,30,18129
1,2004,1,23,17,29,20090
1,2004,1,23,18,29,22006
1,2004,1,23,19,24,22598
1,2004,1,23,20,23,21137
1,2004,1,23,21,22,21703
1,2004,1,23,22,24,21232
1,2004,1,23,23,25,20322
1,2004,1,23,24,27,19099
1,2004,1,24,1,27,18221
1,2004,1,24,2,29,18336
1,2004,1,24,3,30,18763
1,2004,1,24,4,30,19318
1,2004,1,24,5,30,20406
1,2004,1,24,6,29,22025
1,2004,1,24,7,29,24542
1,2004,1,24,8,27,26837
1,2004,1,24,9,28,26367
1,2004,1,24,10,32,23371
1,2004,1,24,11,36,20373
1,2004,1,24,12,36,18122
1,2004,1,24,13,37,16676
1,2004,1,24,14,32,15594
1,2004,1,24,15,32,14976
1,2004,1,24,16,30,15370
1,2004,1,24,17,29,16600
1,2004,1,24,18,27,19230
1,2004,1,24,19,25,20288
1,2004,1,24,20,23,20671
1,2004,1,24,21,23,20666
1,2004,1,24,22,23,19870
1,2004,1,24,23,25,18456
1,2004,1,24,24,23,17425
1,2004,1,25,1,23,16907
1,2004,1,25,2,23,16626
1,2004,1,25,3,23,16820
1,2004,1,25,4,21,17294
1,2004,1,25,5,20,18005
1,2004,1,25,6,20,18825
1,2004,1,25,7,19,20406
1,2004,1,25,8,18,22488
1,2004,1,25,9,18,23504
1,2004,1,25,10,19,22067
1,2004,1,25,11,20,19305
1,2004,1,25,12,20,16904
1,2004,1,25,13,20,15587
1,2004,1,25,14,22,14572
1,2004,1,25,15,22,14148
1,2004,1,25,16,22,14094
1,2004,1,25,17,21,15218
1,2004,1,25,18,21,18613
1,2004,1,25,19,22,19446
1,2004,1,25,20,22,19629
1,2004,1,25,21,21,19482
1,2004,1,25,22,22,18323
1,2004,1,25,23,22,16876
1,2004,1,25,24,23,15533
1,2004,1,26,1,23,14379
1,2004,1,26,2,25,14205
1,2004,1,26,3,26,14208
1,2004,1,26,4,25,14348
1,2004,1,26,5,24,15178
1,2004,1,26,6,25,16926
1,2004,1,26,7,27,19991
1,2004,1,26,8,28,20556
1,2004,1,26,9,32,19213
1,2004,1,26,10,34,18954
1,2004,1,26,11,34,18557
1,2004,1,26,12,35,17504
1,2004,1,26,13,35,16636
1,2004,1,26,14,36,16035
1,2004,1,26,15,36,16017
1,2004,1,26,16,36,16829
1,2004,1,26,17,36,18667
1,2004,1,26,18,36,20761
1,2004,1,26,19,37,21314
1,2004,1,26,20,37,20961
1,2004,1,26,21,37,20344
1,2004,1,26,22,37,19204
1,2004,1,26,23,37,16931
1,2004,1,26,24,37,14832
1,2004,1,27,1,36,13394
1,2004,1,27,2,36,13019
1,2004,1,27,3,36,12887
1,2004,1,27,4,36,12866
1,2004,1,27,5,37,13522
1,2004,1,27,6,36,15258
1,2004,1,27,7,38,18223
1,2004,1,27,8,36,18766
1,2004,1,27,9,38,17442
1,2004,1,27,10,38,16921
1,2004,1,27,11,40,16394
1,2004,1,27,12,41,15533
1,2004,1,27,13,41,15319
1,2004,1,27,14,41,14786
1,2004,1,27,15,43,14621
1,2004,1,27,16,41,14539
1,2004,1,27,17,41,15724
1,2004,1,27,18,38,17842
1,2004,1,27,19,36,18988
1,2004,1,27,20,34,18889
1,2004,1,27,21,33,18200
1,2004,1,27,22,31,16895
1,2004,1,27,23,31,14697
1,2004,1,27,24,31,12755
1,2004,1,28,1,31,11627
1,2004,1,28,2,31,11311
1,2004,1,28,3,31,11231
1,2004,1,28,4,31,11554
1,2004,1,28,5,31,12321
1,2004,1,28,6,30,14489
1,2004,1,28,7,29,17667
1,2004,1,28,8,29,18205
1,2004,1,28,9,29,16353
1,2004,1,28,10,30,14992
1,2004,1,28,11,31,14127
1,2004,1,28,12,31,13066
1,2004,1,28,13,32,12528
1,2004,1,28,14,34,12658
1,2004,1,28,15,33,12363
1,2004,1,28,16,33,12698
1,2004,1,28,17,31,14048
1,2004,1,28,18,32,17435
1,2004,1,28,19,31,18774
1,2004,1,28,20,31,19259
1,2004,1,28,21,31,19117
1,2004,1,28,22,29,19038
1,2004,1,28,23,30,17451
1,2004,1,28,24,27,15845
1,2004,1,29,1,29,15062
1,2004,1,29,2,29,15052
1,2004,1,29,3,31,15196
1,2004,1,29,4,29,15561
1,2004,1,29,5,29,16568
1,2004,1,29,6,25,18751
1,2004,1,29,7,25,21841
1,2004,1,29,8,24,21816
1,2004,1,29,9,33,20193
1,2004,1,29,10,34,19437
1,2004,1,29,11,36,19183
1,2004,1,29,12,40,18980
1,2004,1,29,13,45,18406
1,2004,1,29,14,46,18333
1,2004,1,29,15,46,18523
1,2004,1,29,16,47,19222
1,2004,1,29,17,46,20767
1,2004,1,29,18,45,22597
1,2004,1,29,19,37,22817
1,2004,1,29,20,34,22303
1,2004,1,29,21,35,21610
1,2004,1,29,22,32,20595
1,2004,1,29,23,32,18564
1,2004,1,29,24,30,16223
1,2004,1,30,1,30,19696
1,2004,1,30,2,30,19593
1,2004,1,30,3,30,19898
1,2004,1,30,4,31,20220
1,2004,1,30,5,33,21049
1,2004,1,30,6,33,22845
1,2004,1,30,7,33,25106
1,2004,1,30,8,33,25749
1,2004,1,30,9,34,24397
1,2004,1,30,10,35,21677
1,2004,1,30,11,39,20366
1,2004,1,30,12,36,19693
1,2004,1,30,13,35,19057
1,2004,1,30,14,34,18415
1,2004,1,30,15,29,18560
1,2004,1,30,16,29,20459
1,2004,1,30,17,29,22737
1,2004,1,30,18,29,25064
1,2004,1,30,19,28,27678
1,2004,1,30,20,29,28121
1,2004,1,30,21,29,28645
1,2004,1,30,22,28,28492
1,2004,1,30,23,27,28191
1,2004,1,30,24,26,27794
1,2004,1,31,10,25,34911
1,2004,1,31,11,26,31765
1,2004,1,31,12,28,28705
1,2004,1,31,13,28,25726
1,2004,1,31,14,28,23238
1,2004,1,31,15,29,21315
1,2004,1,31,16,29,20591
1,2004,1,31,17,29,21232
1,2004,1,31,18,29,23752
1,2004,1,31,19,27,26536
1,2004,1,31,20,25,27505
1,2004,1,31,21,26,27570
1,2004,1,31,22,26,27440
1,2004,1,31,23,26,26350
1,2004,1,31,24,26,25912
1,2004,2,1,1,26,25494
1,2004,2,1,2,24,25876
1,2004,2,1,3,25,26405
1,2004,2,1,4,23,27203
1,2004,2,1,5,23,27860
1,2004,2,1,6,23,28936
1,2004,2,1,7,23,30728
1,2004,2,1,8,21,33111
1,2004,2,1,9,26,33359
1,2004,2,1,10,28,29647
1,2004,2,1,11,29,17929
1,2004,2,1,12,30,17977
1,2004,2,1,13,32,17806
1,2004,2,1,14,31,18068
1,2004,2,1,15,32,18956
1,2004,2,1,16,32,20924
1,2004,2,1,17,31,24104
1,2004,2,1,18,29,24775
1,2004,2,1,19,28,22805
1,2004,2,1,20,27,23714
1,2004,2,1,21,25,18417
1,2004,2,1,22,27,18403
1,2004,2,1,23,24,18606
1,2004,2,1,24,22,18705
1,2004,2,2,1,22,23190
1,2004,2,2,2,22,23522
1,2004,2,2,3,21,24295
1,2004,2,2,4,24,25337
1,2004,2,2,5,24,26719
1,2004,2,2,6,22,29597
1,2004,2,2,7,21,33710
1,2004,2,2,8,20,34609
1,2004,2,2,9,25,31156
1,2004,2,2,10,33,28567
1,2004,2,2,11,37,12635
1,2004,2,2,12,42,12251
1,2004,2,2,13,43,12147
1,2004,2,2,14,43,12155
1,2004,2,2,15,43,12407
1,2004,2,2,16,42,12945
1,2004,2,2,17,40,14812
1,2004,2,2,18,37,16943
1,2004,2,2,19,34,18035
1,2004,2,2,20,32,25381
1,2004,2,2,21,32,17652
1,2004,2,2,22,30,17574
1,2004,2,2,23,32,17819
1,2004,2,2,24,33,18197
1,2004,2,3,1,35,19750
1,2004,2,3,2,35,19827
1,2004,2,3,3,37,20594
1,2004,2,3,4,38,21347
1,2004,2,3,5,40,22287
1,2004,2,3,6,42,23881
1,2004,2,3,7,45,25264
1,2004,2,3,8,47,26092
1,2004,2,3,9,47,25879
1,2004,2,3,10,48,25458
1,2004,2,3,11,48,24617
1,2004,2,3,12,50,23017
1,2004,2,3,13,50,21505
1,2004,2,3,14,49,18849
1,2004,2,3,15,51,16523
1,2004,2,3,16,51,16180
1,2004,2,3,17,47,16746
1,2004,2,3,18,43,18941
1,2004,2,3,19,41,22039
1,2004,2,3,20,39,22985
1,2004,2,3,21,39,22681
1,2004,2,3,22,39,22372
1,2004,2,3,23,39,20988
1,2004,2,3,24,38,19473
1,2004,2,4,1,38,18719
1,2004,2,4,2,39,18530
1,2004,2,4,3,39,18859
1,2004,2,4,4,38,19201
1,2004,2,4,5,37,20156
1,2004,2,4,6,35,22723
1,2004,2,4,7,34,26390
1,2004,2,4,8,36,27117
1,2004,2,4,9,38,23883
1,2004,2,4,10,41,20921
1,2004,2,4,11,43,18831
1,2004,2,4,12,43,17555
1,2004,2,4,13,43,15977
1,2004,2,4,14,43,14921
1,2004,2,4,15,43,14205
1,2004,2,4,16,43,14046
1,2004,2,4,17,43,15508
1,2004,2,4,18,40,18281
1,2004,2,4,19,36,21619
1,2004,2,4,20,32,23001
1,2004,2,4,21,30,23481
1,2004,2,4,22,30,23263
1,2004,2,4,23,30,22320
1,2004,2,4,24,30,21368
1,2004,2,5,1,30,21081
1,2004,2,5,2,30,21389
1,2004,2,5,3,29,21982
1,2004,2,5,4,30,22571
1,2004,2,5,5,30,23454
1,2004,2,5,6,29,25634
1,2004,2,5,7,30,28790
1,2004,2,5,8,27,29492
1,2004,2,5,9,31,27405
1,2004,2,5,10,37,25859
1,2004,2,5,11,39,23708
1,2004,2,5,12,39,21859
1,2004,2,5,13,40,20638
1,2004,2,5,14,44,20578
1,2004,2,5,15,42,21098
1,2004,2,5,16,42,22052
1,2004,2,5,17,39,23878
1,2004,2,5,18,37,25969
1,2004,2,5,19,35,27065
1,2004,2,5,20,35,26958
1,2004,2,5,21,37,26360
1,2004,2,5,22,37,25135
1,2004,2,5,23,38,23472
1,2004,2,5,24,38,22041
1,2004,2,6,1,40,21906
1,2004,2,6,2,41,21923
1,2004,2,6,3,41,22069
1,2004,2,6,4,42,22425
1,2004,2,6,5,43,22794
1,2004,2,6,6,44,24017
1,2004,2,6,7,47,26253
1,2004,2,6,8,49,26735
1,2004,2,6,9,53,26579
1,2004,2,6,10,54,26534
1,2004,2,6,11,58,27031
1,2004,2,6,12,60,26317
1,2004,2,6,13,63,25570
1,2004,2,6,14,61,25159
1,2004,2,6,15,54,24599
1,2004,2,6,16,53,25082
1,2004,2,6,17,51,25485
1,2004,2,6,18,49,25805
1,2004,2,6,19,41,26141
1,2004,2,6,20,44,25266
1,2004,2,6,21,45,24085
1,2004,2,6,22,45,22684
1,2004,2,6,23,46,21351
1,2004,2,6,24,52,20214
1,2004,2,7,1,52,19276
1,2004,2,7,2,53,18753
1,2004,2,7,3,54,18892
1,2004,2,7,4,43,18978
1,2004,2,7,5,42,19531
1,2004,2,7,6,40,19984
1,2004,2,7,7,40,21413
1,2004,2,7,8,41,23340
1,2004,2,7,9,41,24147
1,2004,2,7,10,46,24257
1,2004,2,7,11,47,22617
1,2004,2,7,12,47,20919
